row_id,congestion
848835,45
848836,41
848837,54
848838,17
848839,59
848840,56
848841,36
848842,46
848843,60
848844,54
848845,37
848846,35
848847,35
848848,35
848849,50
848850,33
848851,35
848852,49
848853,63
848854,49
848855,43
848856,34
848857,32
848858,53
848859,50
848860,52
848861,47
848862,64
848863,50
848864,53
848865,67
848866,63
848867,57
848868,38
848869,62
848870,57
848871,61
848872,40
848873,36
848874,59
848875,67
848876,47
848877,67
848878,62
848879,31
848880,21
848881,29
848882,35
848883,34
848884,46
848885,49
848886,63
848887,60
848888,43
848889,21
848890,63
848891,22
848892,56
848893,69
848894,34
848895,57
848896,30
848897,69
848898,35
848899,48
848900,43
848901,41
848902,62
848903,21
848904,63
848905,55
848906,36
848907,45
848908,60
848909,54
848910,37
848911,27
848912,38
848913,31
848914,62
848915,28
848916,34
848917,56
848918,48
848919,57
848920,23
848921,40
848922,37
848923,55
848924,49
848925,52
848926,48
848927,70
848928,51
848929,51
848930,63
848931,63
848932,52
848933,38
848934,62
848935,58
848936,61
848937,37
848938,38
848939,54
848940,62
848941,45
848942,68
848943,63
848944,31
848945,19
848946,29
848947,29
848948,34
848949,49
848950,52
848951,64
848952,55
848953,46
848954,21
848955,62
848956,27
848957,56
848958,72
848959,44
848960,62
848961,37
848962,68
848963,33
848964,37
848965,52
848966,35
848967,60
848968,18
848969,63
848970,55
848971,37
848972,46
848973,59
848974,57
848975,36
848976,28
848977,35
848978,33
848979,64
848980,33
848981,34
848982,56
848983,58
848984,44
848985,46
848986,43
848987,32
848988,64
848989,49
848990,56
848991,38
848992,69
848993,51
848994,54
848995,63
848996,62
848997,54
848998,36
848999,60
849000,59
849001,62
849002,26
849003,28
849004,60
849005,65
849006,45
849007,70
849008,71
849009,33
849010,22
849011,29
849012,32
849013,34
849014,49
849015,53
849016,66
849017,58
849018,50
849019,21
849020,70
849021,20
849022,55
849023,76
849024,49
849025,59
849026,28
849027,66
849028,16
849029,18
849030,50
849031,47
849032,56
849033,27
849034,59
849035,55
849036,40
849037,42
849038,56
849039,53
849040,35
849041,32
849042,41
849043,35
849044,57
849045,32
849046,31
849047,56
849048,62
849049,59
849050,42
849051,35
849052,35
849053,49
849054,56
849055,54
849056,53
849057,66
849058,50
849059,54
849060,62
849061,60
849062,56
849063,32
849064,63
849065,59
849066,61
849067,29
849068,30
849069,56
849070,64
849071,43
849072,74
849073,70
849074,35
849075,19
849076,29
849077,31
849078,34
849079,48
849080,51
849081,66
849082,56
849083,50
849084,21
849085,70
849086,21
849087,56
849088,72
849089,28
849090,60
849091,29
849092,68
849093,15
849094,43
849095,50
849096,49
849097,64
849098,24
849099,62
849100,52
849101,37
849102,44
849103,56
849104,56
849105,37
849106,39
849107,42
849108,33
849109,57
849110,26
849111,34
849112,51
849113,53
849114,57
849115,28
849116,29
849117,36
849118,52
849119,61
849120,55
849121,50
849122,69
849123,50
849124,49
849125,61
849126,59
849127,56
849128,39
849129,62
849130,50
849131,63
849132,44
849133,29
849134,65
849135,66
849136,48
849137,70
849138,68
849139,34
849140,22
849141,29
849142,30
849143,34
849144,50
849145,51
849146,63
849147,64
849148,50
849149,21
849150,73
849151,26
849152,54
849153,75
849154,44
849155,59
849156,26
849157,72
849158,14
849159,41
849160,49
849161,61
849162,53
849163,21
849164,65
849165,57
849166,38
849167,44
849168,57
849169,55
849170,40
849171,26
849172,39
849173,33
849174,62
849175,33
849176,34
849177,57
849178,61
849179,45
849180,36
849181,46
849182,36
849183,57
849184,61
849185,54
849186,49
849187,71
849188,44
849189,52
849190,60
849191,63
849192,61
849193,35
849194,61
849195,55
849196,60
849197,26
849198,33
849199,66
849200,67
849201,45
849202,68
849203,68
849204,34
849205,21
849206,29
849207,32
849208,34
849209,50
849210,53
849211,64
849212,59
849213,54
849214,21
849215,71
849216,34
849217,56
849218,71
849219,37
849220,60
849221,28
849222,69
849223,15
849224,34
849225,42
849226,31
849227,58
849228,19
849229,63
849230,53
849231,41
849232,52
849233,65
849234,55
849235,37
849236,27
849237,35
849238,34
849239,58
849240,36
849241,38
849242,51
849243,58
849244,47
849245,44
849246,27
849247,41
849248,57
849249,59
849250,54
849251,54
849252,69
849253,41
849254,54
849255,62
849256,64
849257,66
849258,38
849259,62
849260,56
849261,60
849262,43
849263,38
849264,64
849265,67
849266,47
849267,69
849268,71
849269,34
849270,18
849271,29
849272,32
849273,34
849274,49
849275,50
849276,72
849277,56
849278,55
849279,29
849280,68
849281,37
849282,57
849283,70
849284,48
849285,57
849286,24
849287,74
849288,14
849289,41
849290,47
849291,35
849292,47
849293,27
849294,63
849295,52
849296,44
849297,50
849298,50
849299,56
849300,36
849301,27
849302,39
849303,32
849304,61
849305,31
849306,36
849307,54
849308,43
849309,49
849310,48
849311,28
849312,38
849313,54
849314,57
849315,53
849316,51
849317,62
849318,54
849319,56
849320,62
849321,65
849322,64
849323,35
849324,60
849325,48
849326,60
849327,33
849328,38
849329,59
849330,65
849331,47
849332,69
849333,65
849334,34
849335,20
849336,29
849337,31
849338,34
849339,50
849340,52
849341,71
849342,64
849343,48
849344,29
849345,69
849346,24
849347,55
849348,76
849349,44
849350,58
849351,33
849352,57
849353,14
849354,34
849355,34
849356,34
849357,47
849358,27
849359,69
849360,50
849361,34
849362,49
849363,51
849364,56
849365,39
849366,28
849367,40
849368,36
849369,59
849370,34
849371,38
849372,57
849373,56
849374,49
849375,48
849376,30
849377,37
849378,58
849379,58
849380,52
849381,53
849382,71
849383,47
849384,53
849385,61
849386,60
849387,46
849388,36
849389,60
849390,56
849391,64
849392,37
849393,36
849394,61
849395,66
849396,45
849397,69
849398,66
849399,32
849400,19
849401,29
849402,32
849403,34
849404,48
849405,52
849406,66
849407,58
849408,52
849409,21
849410,73
849411,22
849412,57
849413,75
849414,42
849415,57
849416,30
849417,71
849418,15
849419,32
849420,53
849421,36
849422,29
849423,13
849424,67
849425,54
849426,39
849427,52
849428,50
849429,55
849430,37
849431,28
849432,42
849433,34
849434,59
849435,33
849436,40
849437,55
849438,56
849439,48
849440,45
849441,32
849442,38
849443,59
849444,52
849445,56
849446,43
849447,69
849448,50
849449,49
849450,61
849451,60
849452,62
849453,34
849454,62
849455,43
849456,64
849457,47
849458,37
849459,66
849460,69
849461,50
849462,67
849463,67
849464,33
849465,23
849466,29
849467,30
849468,34
849469,52
849470,56
849471,67
849472,59
849473,41
849474,21
849475,66
849476,26
849477,55
849478,76
849479,46
849480,58
849481,27
849482,69
849483,36
849484,52
849485,44
849486,41
849487,59
849488,18
849489,63
849490,50
849491,35
849492,49
849493,53
849494,54
849495,41
849496,22
849497,36
849498,35
849499,56
849500,29
849501,43
849502,58
849503,42
849504,41
849505,26
849506,24
849507,36
849508,53
849509,56
849510,55
849511,49
849512,68
849513,47
849514,53
849515,63
